	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
nitrate/nitrite two-component system sensor histidine kinase NarQFUNC_PR38758	3	0	0	0	0	0	0	0	0	2	0	0
nitrate/sulfonate/bicarbonate ABC transporter ATP-binding proteinFUNC_PR38759	1	1	0	0	0	0	0	0	0	1	0	0
nitrate/sulfonate/bicarbonate ABC transporter permeaseFUNC_PR38760	0	0	0	0	0	1	0	0	0	0	0	0
nitrate/sulfonate/bicarbonate ABC transporter substrate-binding proteinFUNC_PR38761	0	0	0	0	1	0	0	0	0	0	0	0
nitric oxide dioxygenaseFUNC_PR38762	2	10	0	1	4	10	0	0	0	3	0	6
nitric oxide reductaseFUNC_PR38763	43	51	1	0	34	117	0	0	0	31	0	6
nitric oxide reductase activation proteinFUNC_PR38764	0	0	0	0	1	0	0	0	0	0	0	0
nitric oxide reductase activation protein NorDFUNC_PR38765	0	0	0	1	0	0	0	1	0	3	0	0
nitric oxide reductase D proteinFUNC_PR38766	0	0	0	0	2	0	0	0	0	0	0	0
nitric oxide reductase transcription regulatorFUNC_PR38767	6	1	0	1	1	0	0	0	0	4	0	9
nitric oxide reductase transcription regulator, partialFUNC_PR38768	5	7	0	0	0	0	0	0	0	0	0	4
nitric oxide synthaseFUNC_PR38769	0	3	0	0	0	0	0	0	0	1	0	0
nitric oxide synthase oxygenaseFUNC_PR38770	0	0	0	0	2	11	0	0	0	0	0	0
nitric oxide synthase oxygenase, partialFUNC_PR38771	0	0	0	0	0	2	0	0	0	0	0	0
nitric oxide synthase-interacting proteinFUNC_PR38772	0	0	0	0	0	8	0	0	0	0	0	0
nitric oxide synthase-likeFUNC_PR38773	0	0	0	0	0	0	0	0	0	2	0	0
nitric-oxide reductase large subunitFUNC_PR38774	5	10	2	0	7	41	0	0	0	6	2	0
nitrilaseFUNC_PR38775	5	4	0	0	0	0	0	0	1	1	0	4
Nitrilase, putativeFUNC_PR38776	0	0	0	0	0	1	0	0	0	0	0	0
nitrilase/cyanide hydrataseFUNC_PR38777	0	0	0	1	0	0	0	0	0	0	0	0
nitrilase/cyanide hydratase and apolipoprotein N-acyltransferaseFUNC_PR38778	0	0	0	1	0	0	0	0	0	0	0	0
nitrile hydratase subunit betaFUNC_PR38779	0	0	0	0	1	0	0	1	0	0	1	0
nitrile-specifier protein 5-likeFUNC_PR38780	1	1	0	2	1	0	1	2	1	0	0	0
nitrilotriacetate monooxygenaseFUNC_PR38781	2	1	0	0	0	10	0	0	0	0	0	2
Nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit AFUNC_PR38782	2	2	1	3	3	2	3	1	0	2	0	1
nitrite reductaseFUNC_PR38783	41	30	4	3	36	176	3	2	1	51	4	26
nitrite reductase (NAD(P)H) small subunitFUNC_PR38784	1	1	0	1	0	2	3	0	0	3	0	0
nitrite reductase large subunitFUNC_PR38785	28	26	0	42	27	97	20	28	15	38	16	8
nitrite reductase large subunit, partialFUNC_PR38786	2	3	0	1	3	4	1	2	1	0	1	0
nitrite reductase small subunitFUNC_PR38787	0	0	0	0	0	0	0	1	1	0	0	0
nitrite reductase, copper-containingFUNC_PR38788	6	0	0	0	1	20	0	0	0	1	0	0
nitrite reductase, partialFUNC_PR38789	0	0	0	0	0	5	0	0	0	1	0	7
nitrite transporter NirCFUNC_PR38790	0	0	0	0	0	1	0	0	0	0	0	0
nitrobenzoate reductaseFUNC_PR38791	0	0	0	0	0	0	0	0	0	1	0	0
Nitrogen assimilation transcription factor nit-4FUNC_PR38792	0	0	0	0	0	0	0	0	0	0	0	1
nitrogen assimilation transcription factor nit-4-likeFUNC_PR38793	1	0	0	0	0	0	0	0	0	0	0	0
nitrogen assimilation transcription factor nit-4-like, partialFUNC_PR38794	0	1	0	0	0	0	0	1	0	0	0	0
nitrogen assimilation transcriptional regulatorFUNC_PR38795	0	0	0	0	0	1	0	0	0	0	0	0
nitrogen fixation negative regulator NifLFUNC_PR38796	0	0	0	0	1	0	0	0	0	0	0	0
nitrogen fixation proteinFUNC_PR38797	0	0	0	0	0	1	0	0	0	0	0	0
nitrogen fixation protein FixHFUNC_PR38798	0	0	0	0	0	5	0	0	0	2	0	0
nitrogen fixation protein NifEFUNC_PR38799	4	0	0	0	0	0	0	0	0	0	0	0
nitrogen fixation protein NifXFUNC_PR38800	0	0	0	0	0	0	1	0	0	0	0	0
Nitrogen metabolite repression protein nmrFUNC_PR38801	0	1	0	0	0	0	0	0	0	0	0	0
nitrogen permease reactivator protein NPR1FUNC_PR38802	0	0	0	0	0	0	0	1	0	0	0	0
nitrogen permease regulating protein NPR2FUNC_PR38803	3	0	0	5	2	0	0	0	1	12	1	0
nitrogen permease regulator 2-like proteinFUNC_PR38804	0	0	0	0	3	0	0	0	0	0	0	0
nitrogen permease regulator 2, partialFUNC_PR38805	0	0	0	0	0	0	0	1	0	0	0	0
nitrogen permease regulator 3-like proteinFUNC_PR38806	3	3	0	0	0	7	0	0	0	0	0	0
nitrogen regulation protein NR(I)FUNC_PR38807	2	8	0	3	3	14	1	6	6	9	0	0
nitrogen regulation protein NR(I), partialFUNC_PR38808	0	0	0	0	0	0	0	1	0	2	0	0
nitrogen regulation protein NR(II), partialFUNC_PR38809	0	0	0	0	0	0	0	0	0	2	0	0
nitrogen regulatory proteinFUNC_PR38810	0	0	0	0	0	9	0	0	0	0	0	0
nitrogen regulatory protein areA-likeFUNC_PR38811	0	0	0	0	0	0	1	0	0	0	0	0
nitrogen regulatory protein P-II 1FUNC_PR38812	7	0	0	2	1	9	3	3	1	1	1	0
nitrogen-responsive transcriptional regulator GLN3FUNC_PR38813	0	3	0	16	36	0	4	14	9	54	16	0
nitrogenaseFUNC_PR38814	0	0	0	0	0	0	0	0	0	1	0	0
nitrogenase cofactor biosynthesis protein NifBFUNC_PR38815	0	0	0	0	0	0	0	0	0	1	0	0
nitrogenase iron proteinFUNC_PR38816	0	2	0	0	0	0	0	0	0	0	0	0
nitrogenase iron-molybdenum cofactor biosynthesis protein NifEFUNC_PR38817	0	0	0	0	0	0	0	0	0	0	0	1
nitrogenase molybdenum-iron protein alpha chainFUNC_PR38818	1	1	0	0	0	0	0	1	0	0	0	0
nitrogenase molybdenum-iron protein subunit betaFUNC_PR38819	0	0	0	0	0	0	0	0	0	0	0	1
nitrogenase reductaseFUNC_PR38820	0	8	0	0	0	0	0	0	0	0	0	0
nitronate monooxygenaseFUNC_PR38821	26	38	0	1	12	39	0	0	1	8	0	43
nitronate monooxygenase, partialFUNC_PR38822	2	5	0	0	0	0	0	0	0	1	0	0
nitroreductaseFUNC_PR38823	11	13	2	1	8	33	2	1	0	16	0	0
NitroreductaseFUNC_PR38824	2	1	0	0	0	1	1	2	1	0	1	0
nitroreductase AFUNC_PR38825	0	0	0	0	0	10	0	0	0	0	0	3
nitroreductase family deazaflavin-dependent oxidoreductaseFUNC_PR38826	0	3	0	0	0	3	0	0	0	0	0	0
nitroreductase family proteinFUNC_PR38827	1	10	1	0	1	29	0	0	0	5	0	0
nitroreductase, partialFUNC_PR38828	0	0	0	0	0	0	0	0	0	2	0	0
nitroreductase/quinone reductase family proteinFUNC_PR38829	2	0	0	0	0	0	0	0	0	0	0	0
nitrosoguanidine resistance proteinFUNC_PR38830	0	0	0	0	1	0	0	0	0	0	0	0
nitrous oxide reductaseFUNC_PR38831	0	6	0	0	1	0	0	0	0	0	1	0
nitrous oxide reductase accessory protein NosLFUNC_PR38832	4	19	0	0	0	2	0	0	0	0	1	5
nitrous oxide reductase family maturation protein NosDFUNC_PR38833	0	3	0	0	0	9	0	0	0	0	0	0
nitrous-oxide reductaseFUNC_PR38834	1	9	0	0	3	32	0	0	0	1	0	9
nitrous-oxide reductase subunit NosYFUNC_PR38835	1	0	0	0	0	0	0	0	0	0	0	0
Nkp1pFUNC_PR38836	0	1	0	0	1	0	1	0	6	5	0	0
Nkp2pFUNC_PR38837	0	0	0	10	4	2	2	1	0	5	5	0
NLI interacting factorFUNC_PR38838	0	0	0	0	0	0	0	1	0	2	0	0
NLP/P60 proteinFUNC_PR38839	0	0	0	0	0	11	0	0	0	0	0	0
NLPA lipoproteinFUNC_PR38840	0	0	0	0	0	7	0	0	0	0	0	0
NlpC/P60 family proteinFUNC_PR38841	0	0	0	0	0	0	0	0	0	1	0	0
NlpC/P60 family protein, partialFUNC_PR38842	8	14	1	0	4	11	0	0	0	6	0	0
NLR family carD domain protein 3FUNC_PR38843	0	0	0	1	0	0	0	0	0	1	0	0
NMA1-like proteinFUNC_PR38844	4	0	0	0	0	0	0	1	0	3	1	0
Nma111FUNC_PR38845	7	4	0	11	11	3	7	7	3	7	8	0
NMA111-like proteinFUNC_PR38846	7	0	0	2	2	0	0	1	0	2	2	0
Nma111pFUNC_PR38847	2	0	0	14	36	1	6	13	18	27	13	0
Nma2FUNC_PR38848	0	1	0	2	2	0	0	0	2	6	2	1
NMA2-like proteinFUNC_PR38849	3	0	0	3	11	1	1	3	4	7	7	2
Nmd2FUNC_PR38850	0	0	0	0	5	0	1	0	1	1	0	0
NMD2-like proteinFUNC_PR38851	0	0	0	0	0	0	0	1	2	0	0	0
Nmd2pFUNC_PR38852	4	1	0	5	10	0	10	8	6	24	4	0
Nmd3FUNC_PR38853	8	12	0	4	11	0	14	15	10	10	4	0
NMD3-domain-containing proteinFUNC_PR38854	0	0	0	0	0	0	0	0	0	0	1	0
NMD3-like proteinFUNC_PR38855	0	0	0	0	0	0	0	0	1	1	0	0
Nmd4FUNC_PR38856	1	0	0	0	0	0	0	0	0	0	0	0
Nmd4pFUNC_PR38857	0	0	0	0	3	0	0	2	1	3	1	0
Nmd5FUNC_PR38858	1	2	0	1	2	0	0	1	0	0	4	0
NMD5-like proteinFUNC_PR38859	1	0	0	0	0	0	1	0	0	0	0	0
Nmd5pFUNC_PR38860	8	0	0	4	13	0	1	9	9	22	10	0
NMDA receptor-regulated protein 1-domain-containing proteinFUNC_PR38861	0	0	0	3	0	0	0	0	0	0	0	0
nmra family proteinFUNC_PR38862	0	1	0	0	0	0	0	0	0	0	0	0
NmrA family proteinFUNC_PR38863	0	0	0	0	1	6	0	1	0	0	0	0
NmrA family transcriptional regulatorFUNC_PR38864	0	11	0	0	0	2	0	0	0	0	1	0
nmrA-like family proteinFUNC_PR38865	0	0	0	1	0	0	0	0	0	0	0	0
NmrA/HSCARG family proteinFUNC_PR38866	0	1	0	0	0	0	0	0	0	0	0	0
Nmt1FUNC_PR38867	0	0	0	4	0	0	0	1	1	2	1	0
Nmt1 proteinFUNC_PR38868	1	0	0	0	3	0	1	0	0	0	0	0
nmt1 protein, partialFUNC_PR38869	2	2	0	0	0	0	0	1	0	1	0	0
NMT1_ASPPA NMT1 proteinFUNC_PR38870	8	3	0	2	3	1	5	11	6	6	1	0
NMT1-domain-containing proteinFUNC_PR38871	1	0	0	0	0	0	0	0	0	0	0	0
NMT1-like proteinFUNC_PR38872	0	0	0	0	0	0	0	1	0	0	0	0
NMT1/THI5 like-domain-containing proteinFUNC_PR38873	1	1	0	0	3	0	1	3	3	2	0	0
Nnf1FUNC_PR38874	0	0	0	2	1	0	1	0	2	1	7	0
Nnf2FUNC_PR38875	0	0	0	4	5	0	0	0	3	1	1	0
Nnf2pFUNC_PR38876	1	0	0	4	9	1	3	7	6	15	8	0
Nnk1FUNC_PR38877	0	0	0	2	9	2	1	0	1	5	7	0
NNK1-like proteinFUNC_PR38878	0	0	0	0	1	0	0	0	0	1	1	0
NnrS family proteinFUNC_PR38879	9	0	0	0	2	22	0	0	0	0	0	7
NnrS proteinFUNC_PR38880	1	0	0	0	0	0	0	0	0	1	0	0
NnrU family proteinFUNC_PR38881	0	2	0	0	0	0	0	0	0	0	0	0
Nnt1FUNC_PR38882	0	0	0	0	0	0	1	1	0	0	0	0
NO signaling/Golgi transport ligand-binding domain-containing proteinFUNC_PR38883	0	1	0	0	1	0	0	0	0	0	0	0
Nob1FUNC_PR38884	0	0	0	0	0	0	0	0	0	0	1	0
NOB1 family endonucleaseFUNC_PR38885	0	3	0	0	0	0	0	0	0	0	0	0
Noc2FUNC_PR38886	0	0	0	0	0	0	1	1	0	0	0	0
Noc2-domain-containing proteinFUNC_PR38887	1	0	0	0	0	0	0	0	0	1	0	0
Noc2-domain-containing protein, partialFUNC_PR38888	0	0	0	0	0	0	0	0	0	2	0	0
NOC2-like proteinFUNC_PR38889	0	1	0	0	0	0	0	0	0	1	0	0
Noc2l proteinFUNC_PR38890	0	0	0	0	0	0	0	0	0	2	0	0
Noc3FUNC_PR38891	0	0	0	1	1	1	1	1	0	0	0	0
Noc3pFUNC_PR38892	1	0	0	1	9	4	4	3	4	7	6	0
Noc4FUNC_PR38893	1	0	0	0	6	2	0	0	0	5	7	0
nodal modulator 1FUNC_PR38894	0	5	0	0	0	0	0	0	0	0	0	0
nodulation efficiency NfeD family proteinFUNC_PR38895	0	2	0	0	0	0	0	0	0	0	0	0
nodulation factor ABC transporter ATP-binding protein NodIFUNC_PR38896	0	4	0	0	0	0	0	0	0	0	1	0
nodulation proteinFUNC_PR38897	0	0	0	0	0	19	0	0	0	0	0	5
nodulation protein LFUNC_PR38898	0	2	0	0	0	0	0	0	0	0	0	0
nodulation protein NfeDFUNC_PR38899	0	0	0	2	0	1	0	0	0	3	0	0
nodulation protein NodTFUNC_PR38900	0	4	0	0	0	8	0	0	0	0	0	0
nodulation protein NolGFUNC_PR38901	0	0	0	0	0	3	1	0	0	1	0	4
nodulin homeobox isoform X1FUNC_PR38902	1	0	0	0	0	0	0	0	0	0	0	0
nodulin-related protein 1-likeFUNC_PR38903	0	5	0	0	0	0	0	0	0	0	0	0
Nog1FUNC_PR38904	7	2	0	3	17	1	8	8	6	13	6	1
NOG1 family proteinFUNC_PR38905	0	2	0	0	0	0	0	0	0	1	1	1
NOG1-like proteinFUNC_PR38906	21	10	0	10	21	0	14	25	7	13	6	0
Nog2FUNC_PR38907	81	1	0	13	9	0	20	42	24	29	3	0
NOL1/NOP2/sun family protein, putativeFUNC_PR38908	0	3	0	0	0	0	0	0	0	0	0	0
NOL1/NOP2/sun family putative RNA metFUNC_PR38909	2	3	0	0	0	0	0	0	3	0	0	0
NOL1/NOP2/sun family RNA methylaseFUNC_PR38910	0	0	0	0	0	0	0	0	0	1	0	0
non-canonical poly(A) polymerase PAP2FUNC_PR38911	3	4	0	7	21	1	1	4	10	38	15	0
non-canonical poly(A) polymerase TRF5FUNC_PR38912	2	1	0	9	16	4	2	7	4	24	15	0
non-canonical poly(A) RNA polymerase PAPD5/7FUNC_PR38913	2	0	0	0	0	6	0	0	0	0	0	0
non-canonical purine NTP diphosphataseFUNC_PR38914	3	0	0	0	0	0	0	0	0	0	0	0
non-canonical purine NTP pyrophosphataseFUNC_PR38915	16	13	0	0	7	33	0	0	0	6	0	5
non-canonical purine NTP pyrophosphatase, partialFUNC_PR38916	0	0	0	1	0	0	0	0	0	2	0	0
non-canonical purine NTP pyrophosphatase, RdgB/HAM1 familyFUNC_PR38917	2	1	0	1	1	21	0	0	0	7	1	2
non-functional NADPH-dependent codeinone reductase 2-likeFUNC_PR38918	0	0	0	0	0	0	0	1	0	0	0	0
Non-heme 11 kDa protein of cytochrome bc1 complexFUNC_PR38919	1	3	0	0	0	1	1	1	0	1	0	0
non-heme iron oxygenase ferredoxin subunitFUNC_PR38920	0	0	0	0	0	0	0	0	0	1	0	0
non-histone chromosomal protein 6FUNC_PR38921	0	0	0	0	2	0	0	0	0	0	0	0
non-histone chromosomal protein 6-likeFUNC_PR38922	0	0	0	0	0	0	1	0	0	0	0	0
non-histone proteinFUNC_PR38923	0	0	0	0	0	0	0	0	1	0	0	0
non-lysosomal glucosylceramidaseFUNC_PR38924	2	0	0	0	0	0	0	0	0	0	0	0
non-lysosomal glucosylceramidase-likeFUNC_PR38925	0	0	0	0	1	0	0	0	0	0	0	0
Non-repetitive/WGA-negative nucleoporin C-terminal-domain-containing proteinFUNC_PR38926	0	0	0	0	0	0	0	1	0	0	0	0
non-ribosomal peptide synthaseFUNC_PR38927	16	5	0	0	0	4	0	0	0	2	0	0
non-ribosomal peptide synthase/polyketide synthaseFUNC_PR38928	0	18	0	0	0	3	0	0	0	0	0	0
non-ribosomal peptide synthetaseFUNC_PR38929	48	118	4	1	32	124	1	3	0	33	3	40
Non-ribosomal peptide synthetase C-terminalFUNC_PR38930	0	0	0	1	0	0	0	0	0	1	0	0
non-ribosomal peptide synthetase subunitFUNC_PR38931	0	0	0	0	0	1	0	0	0	2	0	0
non-ribosomal peptide synthetase, partialFUNC_PR38932	0	1	0	0	3	1	0	0	0	2	0	3
non-SMC condensin II complex subunit D3FUNC_PR38933	0	0	0	0	0	0	0	0	0	1	0	0
Non-specific lipid-transfer proteinFUNC_PR38934	0	2	0	0	0	0	0	0	0	0	0	0
non-specific lipid-transfer protein 1-likeFUNC_PR38935	2	0	0	0	0	0	0	0	0	0	0	0
non-specific lipid-transfer protein 2-likeFUNC_PR38936	2	0	0	0	0	0	2	0	0	0	0	0
non-specific phospholipase C1FUNC_PR38937	9	5	0	0	0	0	0	0	0	0	0	0
non-specific phospholipase C6FUNC_PR38938	1	0	0	0	0	0	0	0	0	0	0	0
non-specific serine/threonine protein kinaseFUNC_PR38939	1	0	0	7	15	4	1	8	8	35	15	0
Non-specific serine/threonine protein kinaseFUNC_PR38940	0	0	0	0	0	0	0	1	0	0	0	0
non-structural maintenance of chromosomes element 1FUNC_PR38941	0	0	0	0	4	0	0	0	0	0	0	0
noncanonical pyrimidine nucleotidase, YjjG familyFUNC_PR38942	1	3	0	0	0	0	0	0	0	0	0	0
nonribosomal peptide synthaseFUNC_PR38943	2	0	0	0	0	0	0	0	0	0	0	0
nonribosomal peptide synthase, putativeFUNC_PR38944	0	0	0	0	0	2	0	0	0	0	0	0
nonribosomal peptide synthetaseFUNC_PR38945	0	1	0	0	0	0	0	0	0	0	0	0
nonribosomal peptide synthetase 2-likeFUNC_PR38946	1	2	0	0	1	0	0	0	0	0	0	0
nonribosomal siderophore peptide synthase Sid2FUNC_PR38947	0	1	0	0	0	0	0	0	1	0	0	0
nonribosomal siderophore peptide synthetaseFUNC_PR38948	0	0	0	0	0	0	0	0	0	1	0	0
nonsense-mediated mRNA decay factorFUNC_PR38949	0	0	0	0	0	0	0	0	0	1	0	0
nonsense-mediated mRNA decay protein 3FUNC_PR38950	0	0	0	1	0	0	0	0	0	0	0	0
nop domain-containing proteinFUNC_PR38951	0	3	0	0	0	0	0	0	0	0	0	0
Nop domain-containing proteinFUNC_PR38952	1	0	0	0	0	0	0	1	0	0	0	0
Nop-domain-containing proteinFUNC_PR38953	0	0	0	1	0	0	0	0	0	0	0	1
NOP1-like proteinFUNC_PR38954	8	1	0	9	6	0	4	12	4	16	6	0
NOP10-like proteinFUNC_PR38955	0	0	0	0	0	1	0	2	0	0	0	0
Nop12pFUNC_PR38956	0	0	0	3	2	0	6	10	3	5	1	0
Nop13FUNC_PR38957	1	0	0	1	0	0	3	2	1	0	1	0
NOP13-like proteinFUNC_PR38958	1	0	0	1	0	0	2	0	0	0	3	0
Nop13pFUNC_PR38959	2	0	0	6	14	2	7	7	3	9	8	0
Nop14FUNC_PR38960	0	0	0	0	0	0	4	1	1	0	0	0
Nop14-like proteinFUNC_PR38961	0	0	0	0	0	0	0	1	0	0	0	0
Nop15FUNC_PR38962	0	0	0	1	1	0	0	3	0	1	2	0
Nop16FUNC_PR38963	0	0	0	0	0	0	0	1	0	2	0	0
Nop16pFUNC_PR38964	0	0	0	10	0	0	17	14	11	5	4	0
Nop19FUNC_PR38965	0	0	0	0	0	0	0	0	1	0	0	0
Nop19pFUNC_PR38966	1	0	0	1	2	0	1	9	1	5	0	0
Nop2FUNC_PR38967	6	2	0	7	16	0	6	14	3	25	4	0
NOP2-like proteinFUNC_PR38968	0	0	0	1	0	0	4	4	1	4	0	0
Nop4FUNC_PR38969	1	1	0	2	6	1	10	12	5	8	5	2
NOP4-like proteinFUNC_PR38970	0	0	0	0	2	0	0	1	0	0	2	0
Nop53pFUNC_PR38971	0	0	0	6	4	0	1	7	5	8	3	0
Nop56FUNC_PR38972	12	1	0	4	4	1	6	5	2	6	1	0
Nop58FUNC_PR38973	8	0	0	2	7	0	10	9	6	10	1	0
NOP58 family proteinFUNC_PR38974	0	4	0	0	0	2	0	0	0	0	0	0
NOP58-like proteinFUNC_PR38975	5	0	0	0	0	0	1	1	0	1	0	0
Nop6FUNC_PR38976	0	0	0	1	0	0	1	2	1	4	1	0
Nop6pFUNC_PR38977	0	6	0	10	19	3	2	32	16	25	14	0
Nop7FUNC_PR38978	0	0	0	1	2	0	1	0	0	3	0	0
NOP7-like proteinFUNC_PR38979	2	0	0	4	0	0	0	1	2	4	5	0
Nop8FUNC_PR38980	0	0	0	0	1	0	0	0	0	1	1	0
Nop8pFUNC_PR38981	0	1	0	5	0	0	5	4	1	9	3	0
Nop9FUNC_PR38982	0	0	0	0	0	0	3	1	0	1	0	0
NosLFUNC_PR38983	3	5	0	0	0	0	0	0	0	0	0	4
NosL proteinFUNC_PR38984	0	0	0	0	1	0	0	0	0	0	0	0
Not1-domain-containing proteinFUNC_PR38985	1	2	0	0	0	0	0	0	0	0	0	0
NOT2 / NOT3 / NOT5 family proteinFUNC_PR38986	0	0	0	0	0	0	0	1	0	0	0	0
Not3FUNC_PR38987	0	0	0	0	0	0	0	4	0	4	0	0
NOT3-like proteinFUNC_PR38988	1	0	0	1	5	0	2	3	0	3	2	0
Not5FUNC_PR38989	0	0	0	0	1	0	0	0	1	1	1	0
NOT5-like proteinFUNC_PR38990	0	0	0	0	1	0	0	0	0	2	1	0
NOTCH2 proteinFUNC_PR38991	0	0	0	0	0	0	0	0	0	1	0	0
notchless protein homolog 1-likeFUNC_PR38992	0	0	0	0	0	0	0	0	0	1	0	0
notchless protein homolog isoform X2FUNC_PR38993	0	0	0	0	0	0	0	0	0	3	0	0
novel plant SNARE 13FUNC_PR38994	3	0	0	1	0	0	0	0	0	0	0	0
NPA3-like proteinFUNC_PR38995	0	1	0	0	0	0	1	0	0	0	0	0
NPC intracellular cholesterol transporter 1FUNC_PR38996	1	0	0	0	0	0	0	0	0	0	0	0
NPC1-like intracellular cholesterol transporter 1FUNC_PR38997	1	0	0	0	0	0	0	0	0	0	0	0
Npc2FUNC_PR38998	0	1	0	1	1	0	0	2	1	0	3	0
Npl3FUNC_PR38999	0	2	0	0	0	0	0	0	0	0	2	0
NPL3-like proteinFUNC_PR39000	14	47	0	9	28	2	0	15	6	19	60	0
Npl4FUNC_PR39001	0	0	0	2	2	0	1	0	0	1	0	0
NPL4 family-domain-containing proteinFUNC_PR39002	0	0	0	0	0	1	0	0	0	0	0	0
NPL4-like protein 2FUNC_PR39003	52	8	0	0	0	0	0	0	0	2	1	0
Npl6FUNC_PR39004	0	0	0	1	0	3	1	3	1	1	2	0
NPL6-like proteinFUNC_PR39005	0	0	0	0	2	3	0	1	1	2	4	0
Npl6pFUNC_PR39006	1	1	0	8	15	13	2	9	3	16	26	3
Npr1FUNC_PR39007	0	0	0	2	19	7	1	10	6	20	7	0
NPR1-like proteinFUNC_PR39008	0	1	0	0	2	2	0	1	0	0	1	0
Npr2FUNC_PR39009	0	0	0	1	5	0	0	1	1	3	2	0
Npr3FUNC_PR39010	0	2	0	1	2	0	1	0	0	7	3	0
NPR3-like proteinFUNC_PR39011	0	0	0	2	1	0	0	0	0	2	0	0
Npr3pFUNC_PR39012	0	3	0	3	9	0	1	8	5	11	3	0
Npt1FUNC_PR39013	0	0	0	4	0	0	1	0	0	9	5	0
Npy1FUNC_PR39014	0	0	0	0	0	0	0	0	0	1	0	0
Nqm1FUNC_PR39015	0	0	0	3	9	0	3	3	8	9	12	0
Nramp family divalent metal transporterFUNC_PR39016	3	7	0	0	1	2	0	0	0	0	0	5
Nramp family metal ion (manganese) transporter, partialFUNC_PR39017	0	4	0	0	0	0	0	0	0	0	0	0
nramp family transporterFUNC_PR39018	0	0	0	0	0	1	0	0	0	0	0	0
Nrap proteinFUNC_PR39019	1	0	0	0	0	3	0	0	0	0	0	3
Nrd1FUNC_PR39020	8	3	0	5	3	0	0	0	1	2	8	0
Nrd1 complex RNA-binding subunitFUNC_PR39021	33	13	0	35	104	12	2	14	13	116	67	1
NRD1-like proteinFUNC_PR39022	0	0	0	0	1	0	0	0	0	0	3	0
NRDE family proteinFUNC_PR39023	1	1	0	0	0	0	0	0	0	0	0	0
NrdH-redoxinFUNC_PR39024	3	2	0	1	4	18	0	0	2	8	0	0
NrdJbFUNC_PR39025	0	0	0	0	0	7	0	0	0	0	0	0
Nre family DNA repair proteinFUNC_PR39026	0	2	0	0	0	0	0	0	0	0	0	0
Nrg1FUNC_PR39027	0	0	0	3	57	15	0	3	5	29	48	0
NRG1-like proteinFUNC_PR39028	0	0	0	0	0	0	0	0	0	0	1	0
NRG2-like proteinFUNC_PR39029	0	0	0	0	0	0	0	1	0	0	0	0
Nrg2pFUNC_PR39030	0	0	0	0	15	6	0	0	0	3	5	0
Nrk1FUNC_PR39031	0	0	0	0	0	0	0	2	0	3	0	0
Nrm1FUNC_PR39032	0	0	0	0	0	0	1	0	0	0	0	0
Nrm1pFUNC_PR39033	0	2	0	1	5	4	2	1	0	2	7	0
Nrp1FUNC_PR39034	0	0	0	0	2	0	0	1	0	2	0	0
Nrp1pFUNC_PR39035	4	1	0	4	9	0	6	5	4	9	3	1
NRPS-like enzymeFUNC_PR39036	0	0	0	0	1	1	0	0	0	0	0	0
Nrt1FUNC_PR39037	1	4	0	7	5	4	1	1	2	8	3	0
Nsa1FUNC_PR39038	0	0	0	0	0	0	0	0	0	0	2	0
Nsa2FUNC_PR39039	2	1	0	2	2	0	8	10	4	10	1	0
NSA2-like proteinFUNC_PR39040	0	0	0	0	0	0	1	2	0	2	0	0
Nse4FUNC_PR39041	0	0	0	0	5	0	0	0	0	11	1	0
Nse5FUNC_PR39042	0	1	0	0	1	0	0	0	0	1	1	0
NSE5-like proteinFUNC_PR39043	0	0	0	0	0	0	0	1	0	2	0	0
Nsg1FUNC_PR39044	0	0	0	1	0	0	0	0	0	0	0	0
Nsg1pFUNC_PR39045	6	0	0	13	15	1	3	9	5	23	3	0
Nsg2FUNC_PR39046	3	0	0	1	3	0	0	0	0	1	3	0
Nsg2pFUNC_PR39047	8	3	0	32	70	36	7	19	30	54	58	4
NSI1-like proteinFUNC_PR39048	0	0	0	0	0	0	0	0	0	2	0	0
Nsi1pFUNC_PR39049	0	0	0	1	14	0	4	5	5	13	5	0
Nsl1FUNC_PR39050	0	0	0	0	2	0	1	0	2	1	1	0
Nsp1-like C-terminal region-domain-containing proteinFUNC_PR39051	0	0	0	0	0	0	1	0	0	0	0	0
Nsr1FUNC_PR39052	14	1	0	14	11	0	11	16	12	23	7	0
NSR1-like proteinFUNC_PR39053	12	6	0	4	3	0	1	3	3	5	1	0
Nsr1pFUNC_PR39054	58	7	0	52	42	6	33	92	64	111	5	1
Nst1FUNC_PR39055	0	0	0	0	0	0	0	1	0	0	1	0
NST1-like proteinFUNC_PR39056	0	0	0	0	2	0	0	0	2	2	1	0
Nst1pFUNC_PR39057	13	4	0	21	47	9	18	22	10	64	35	0
Ntc20pFUNC_PR39058	1	0	0	6	4	0	0	4	2	6	3	0
Nte1FUNC_PR39059	0	1	0	15	23	4	6	4	2	18	10	0
NTE1-like proteinFUNC_PR39060	0	0	0	0	4	0	0	1	2	0	2	0
Ntf2FUNC_PR39061	6	0	0	11	12	3	2	7	6	18	5	0
NTF2 and RRM domain-containing proteinFUNC_PR39062	0	0	0	0	0	0	0	1	0	0	0	0
NTF2 domain-containing proteinFUNC_PR39063	1	0	0	0	0	0	0	0	0	0	0	0
